keyword,is_completed,uploaded_date,link,location,id,title,detail,condition,price,images_url,model,model_type,full_location
유모차 스토케,False,2025-08-20 07:43:46.595629,https://m.bunjang.co.kr/products/330635984?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,한강로동,356fcf58-2382-46c5-b404-397e30c5e2a5,스토케 트레일즈 유모차,출고가 150만원 이었습니다사진 그대로 구매시 30만원겨울용 패딩시트 제외시 20만원 입니다사용감 크지 않고 실사용 1년정도 입니다상태 좋습니다중고거래 특성상 교환이나 환불은 어려우니 구매시 꼼꼼히 확인하시고 구입하시면 좋겠습니다 신용산역 2번출구 150미터 센트럴파크 해링턴 1층 빽다방 앞 직거래입니다택배 불가입니다,사용감 적음,200000.0,"['https://media.bunjang.co.kr/product/330635984_1_1745806762_w480.jpg', 'https://media.bunjang.co.kr/product/330635984_2_1745806762_w480.jpg', 'https://media.bunjang.co.kr/product/330635984_3_1745806762_w480.jpg', 'https://media.bunjang.co.kr/product/330635984_4_1745806762_w480.jpg', 'https://media.bunjang.co.kr/product/330635984_5_1745806762_w480.jpg', 'https://media.bunjang.co.kr/product/330635984_6_1745806762_w480.jpg']",trailz,,서울특별시 용산구 한강로동
유모차 스토케,False,2025-08-20 07:43:46.659852,https://m.bunjang.co.kr/products/317908347?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,한강로동,524cfe75-cfaf-4bb5-b7c7-b35ed450449f,스토케 트레일즈 유모차입니다,스토케 트레일즈 유모차입니다디럭스형이고요2년도 채 쓰지 않았습니다제 기준으로는 A급입니다출고가 150만원 이상이었던것으로 기억하고 지인선물 받았습니다겨울용 패딩시트 포함시 25만원제외시 15만원 입니다중고거래 특성상 교환이나 환불 어렵습니다 직거래시 꼼꼼히 확인후 구매결정 하셔도 되셔요직거래만 합니다신용산역 2번출구 150미터 센트럴파크 해링턴 1층 빽다방 앞에서 직거래 가능합니다,사용감 없음,100000.0,"['https://media.bunjang.co.kr/product/317908347_1_1755640230_w480.jpg', 'https://media.bunjang.co.kr/product/317908347_2_1755640230_w480.jpg', 'https://media.bunjang.co.kr/product/317908347_3_1755640230_w480.jpg', 'https://media.bunjang.co.kr/product/317908347_4_1755640230_w480.jpg', 'https://media.bunjang.co.kr/product/317908347_5_1755640230_w480.jpg', 'https://media.bunjang.co.kr/product/317908347_6_1755640230_w480.jpg']",trailz,디럭스,서울특별시 용산구 한강로동
유모차 스토케,False,2025-08-19 14:43:46.724409,https://m.bunjang.co.kr/products/350453616?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,보람동,47a9e080-0f62-4d21-baa2-2dfe1c2e00f0,스토케 익스플로리X 유모차,스토케 익스플로리 X 유모차 판매합니다그레이컬러입니다하자는 사진 올린것처럼 손잡이부분 찍힌거 말고는 없습니다23년초인가 22년말인가 대전 신세계에서 구매했습니다방한글러브랑 방풍커버 모기장 등등 있는거 다 찾아서 같이드립니다원하시는부분이나 부위 사진 보내드리겠습니다쿨거래시 에누리 가능합니다가까운 청주 대전 공주는 직거래도 가능합니다,사용감 적음,400000.0,"['https://media.bunjang.co.kr/product/350453616_1_1755060046_w480.jpg', 'https://media.bunjang.co.kr/product/350453616_2_1755060046_w480.jpg']",explori,,세종특별자치시 보람동
유모차 스토케,False,2025-08-19 16:43:46.809604,https://m.bunjang.co.kr/products/345010693?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,수색동,1b85438b-77d0-4867-a551-48d59e4cf5a4, 미개봉새상품  스토케 요요3 블랙 블랙프레임 유모차,스토케 요요3 유모차 블랙프레임  블랙색상이고현대백화점 무역점에서 주문했고7월배송왔습니다 택배받은 박스 그대로 보관중입니다  레그레스트포함 육아중이라 직거래는 집앞 근처 협의후 가능합니다   직거래 시 66만원에 드립니다 ,새 상품,688000.0,['https://media.bunjang.co.kr/product/345010693_1_1754091876_w480.jpg'],yoyo,,서울특별시 은평구 수색동
유모차 스토케,False,2025-08-19 19:43:46.974144,https://m.bunjang.co.kr/products/276030707?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,태평2동,caf9be30-5843-4d6d-aaab-8401592ab334,노르웨이산 최고급 명품 럭셔리 디럭스 유모차 스토케,노르웨이산 최고급 명품 럭셔리 디럭스 유모차 스토케  수도권 전철역 전지역 및 대전권 무료배달됩니다  환불불가 ,사용감 없음,70000.0,"['https://media.bunjang.co.kr/product/276030707_1_1719633067_w480.jpg', 'https://media.bunjang.co.kr/product/276030707_2_1719633067_w480.jpg', 'https://media.bunjang.co.kr/product/276030707_3_1719633067_w480.jpg', 'https://media.bunjang.co.kr/product/276030707_4_1719633067_w480.jpg', 'https://media.bunjang.co.kr/product/276030707_5_1719633067_w480.jpg', 'https://media.bunjang.co.kr/product/276030707_6_1719633067_w480.jpg', 'https://media.bunjang.co.kr/product/276030707_7_1719633067_w480.jpg', 'https://media.bunjang.co.kr/product/276030707_8_1719633067_w480.jpg', 'https://media.bunjang.co.kr/product/276030707_9_1719633067_w480.jpg']",,디럭스,대전광역시 중구 태평2동
유모차 스토케,False,2025-08-19 19:43:47.086371,https://m.bunjang.co.kr/products/286798147?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,태평2동,ed5aa047-787c-4fb6-9879-f97c01f23140,최고급 명품 럭셔리 디럭스 유모차 스토케  수도권 전철역 전지역 및 대전,최고급 명품 럭셔리 디럭스 유모차 스토케  수도권 전철역 전지역 및 대전권 무료배달됩니다  환불불가 ,사용감 없음,60000.0,"['https://media.bunjang.co.kr/product/286798147_1_1724918065_w480.jpg', 'https://media.bunjang.co.kr/product/286798147_2_1724918065_w480.jpg', 'https://media.bunjang.co.kr/product/286798147_3_1724918065_w480.jpg', 'https://media.bunjang.co.kr/product/286798147_4_1724918065_w480.jpg', 'https://media.bunjang.co.kr/product/286798147_5_1724918065_w480.jpg', 'https://media.bunjang.co.kr/product/286798147_6_1724918065_w480.jpg', 'https://media.bunjang.co.kr/product/286798147_7_1724918065_w480.jpg', 'https://media.bunjang.co.kr/product/286798147_8_1724918065_w480.jpg', 'https://media.bunjang.co.kr/product/286798147_9_1724918065_w480.jpg']",,디럭스,대전광역시 중구 태평2동
유모차 스토케,False,2025-08-18 11:43:47.163601,https://m.bunjang.co.kr/products/351496630?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,교남동,d2cd46a4-8f2b-43eb-ad6c-f500f55f7550,스토케 유모차,스토케 익스플로리 유모차 판매해요  색상은 브라운 베이지 계열이며 상태는 무난합니다  안전바를 분실하여 싸게 내놓았어요  안전벨트가 워낙 튼튼하고 앉는 자세가 안정적이라 저희는 안전바 없이 태웠답니다 저희는 이제 휴대용으로 갈아타게 되어 당근합니다  여타 악세사리도 몇가지 있는데 거래 시 챙겨드릴께요 ,사용감 많음,49000.0,"['https://media.bunjang.co.kr/product/351496630_1_1755566497_w480.jpg', 'https://media.bunjang.co.kr/product/351496630_2_1755566497_w480.jpg']",explori,,서울특별시 종로구 교남동
유모차 스토케,False,2025-08-06 11:43:47.623795,https://m.bunjang.co.kr/products/348399465?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,광교2동,698cc9ac-1127-4f3c-9923-305dfb908e96,스토케 익스플로리 x 엑스 디럭스 유모차,스토케 익스플로리 엑스 디럭스 유모차스토케 익스플로리 엑스 유모차 리치블랙  세탁완료핸들링 너무 좋고 상태 깨끗하고 좋습니다  구성품 정품컵홀더  정품모기장 미개봉새제품   오가닉팩토 리 가방고리깨끗하나 중고이기에 미세한 생활 스크래치가 있을수 있습니다 바퀴 상태 보시면 실사용횟수 얼마 안된 거 느껴지실 거에요 너무 예민하지않으신분들만 구매해주세요 중고거래 특성상 환불불가 합니다 ,사용감 적음,400000.0,"['https://media.bunjang.co.kr/product/348399465_1_1754094587_w480.jpg', 'https://media.bunjang.co.kr/product/348399465_2_1754094587_w480.jpg', 'https://media.bunjang.co.kr/product/348399465_3_1754094587_w480.jpg', 'https://media.bunjang.co.kr/product/348399465_4_1754094587_w480.jpg', 'https://media.bunjang.co.kr/product/348399465_5_1754094587_w480.jpg', 'https://media.bunjang.co.kr/product/348399465_6_1754094587_w480.jpg']",explori,디럭스,경기도 수원시 영통구 광교2동
유모차 스토케,False,2025-07-23 11:43:47.771250,https://m.bunjang.co.kr/products/346368036?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,용이동,70242dc4-4520-4f1c-9938-69153cc3ad76,스토케 유모차,스토케 유모차 판매합니다아이가 커서 내놓아요사진에 보이는 액세서리 같이 드려요 가방은 고리하나가 빠지더라고요 필요하시면 같이 가져가셔도 좋을것같아요 사진 더 원하시면 찍어드릴게요,사용감 적음,130000.0,"['https://media.bunjang.co.kr/product/346368036_1_1753150684_w480.jpg', 'https://media.bunjang.co.kr/product/346368036_2_1753150684_w480.jpg', 'https://media.bunjang.co.kr/product/346368036_3_1753150684_w480.jpg', 'https://media.bunjang.co.kr/product/346368036_4_1753150684_w480.jpg', 'https://media.bunjang.co.kr/product/346368036_5_1753150684_w480.jpg', 'https://media.bunjang.co.kr/product/346368036_6_1753150684_w480.jpg', 'https://media.bunjang.co.kr/product/346368036_7_1753150684_w480.jpg', 'https://media.bunjang.co.kr/product/346368036_8_1753150684_w480.jpg']",,,경기도 평택시 용이동
유모차 스토케,False,2025-07-30 11:43:47.879257,https://m.bunjang.co.kr/products/347541632?q=%EC%9C%A0%EB%AA%A8%EC%B0%A8%20%EC%8A%A4%ED%86%A0%EC%BC%80&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC,온양6동,a64341fa-cef1-4226-a696-5dfd99a2997a,스토케 익스플로리X 시그니처 유모차 팝니다,스토케 매장에서 구입했어요   스타필드나 백화점에서만 사용했습니다  차값만 190얼마였고 악세사리 추가해서 250에 출고 했습니다  현재 악세사리 몇개는 판매했고 컵홀더랑 방풍커버 레인커버겸용  이정도 있는걸로 알고있습니다  구매문의 주실때 연락주시면 자세히 알려드리겠습니다   시그니처는 한정판 모델이고 지금은 생산종료입니다   그만큼 레어합니다 리치블랙보다도 훨씬 고급스럽고 자세가 나옵니다   지금 유모차는 디테일링 세탁후 포장 되어있습니다  하자나 눈에띄는 데미지 없습니다  ,사용감 없음,900000.0,"['https://media.bunjang.co.kr/product/347541632_1_1753671008_w480.jpg', 'https://media.bunjang.co.kr/product/347541632_2_1753671008_w480.jpg', 'https://media.bunjang.co.kr/product/347541632_3_1753671008_w480.jpg']",explori,,충청남도 아산시 온양6동
