Unnamed: 0,id,title,detail,condition,is_completed,price,location,source,model,model_type
1,001bf36c-66f6-4fc9-9bf8-de21ae6819d8,스토케 익스플로리 유모차,스토케 유모차 22년9월 신세계강남점에서 구매첫째둘째 다타고 내놓습니다 정품인증완료 사용감있음  컨디션 사진에 있어요 유모차 발판도 있어요 잠시 떼여 놨어요 사진에 오염있는부분도 찍었음 쿨거래시 세탁비 까드립니다  세탁만하면 새거랑 같습니다  현재 매장에 금액이 1 920 000원으로 알고있습니다 방풍커버 컵홀더 정품  폰거치대 고리 다 드립니다   직거래만 가능합니다  제가있는쪽으로 오셔서 직거래하셔야합니다 육아중이라 부피가 이랗게큰갈 가지고 어디끼지도 못나갑니다,사용감 적음,False,527790.0,주안6동,bungae,explori,
3,00305b3c-f670-4430-bdbb-c154516a2098,스토케유모차 익스플로리엑스(구성품 포함),"스토케익스플로리엑스 유모차 판매합니다 구성품에 *유모차라이너(듀라론 양면 사계절용) *방풍커버 *매쉬시트 까지 전부 포함이에요 유모차 전문업체에 세탁하여 깨끗하게 사용하였고 바니파파 라이너,매쉬시트,마니또 방풍커버 모두 새상품 구매하여 깨끗이 사용하였습니다 50일 전후로 잠시 사용하였고 산책을 거의 하지 않아 아파트 단지 돌때만 잠시잠시 사용하다가 휴대용 유모차로 넘어가게 되어 처분합니다 아무래도 중고인만큼 예민맘은 피해주세요",새 상품,True,70000.0,부산광역시,daangn,explori,
16,01060c76-eba6-49ab-9baf-73608f7b083a,스토케 크루시 유모차 팝니다,스토케 크루시 유모차 이구요 당근해서 사용했던거라 사용감 있습니다 마지막 사진은 커버를 올려 놓은겁니다 그냥 편하게 막 쓰실분 연락주세요,사용감 많음,True,50000.0,경기도,daangn,crusi,
17,01285283-35be-4ff0-896b-a2557688c1f3,스토케 익스플로리 (커버+양산+패드),스토케 익스폴리리 v4 모델입니다 유모차 + 방풍커버 + 방수커버 (미사용) + 신생아 패드 + 양산 구성입니다 양산은 꽂는 부분이 살짝 부서졌는데 사용에는 문제없습니다 (잘 사용 안하게되더라고요) 사용에 문제없이 잘 쓰다가 이제 아이가 커서 판매하네요 좋은 기운 받아서 잘 쓰셨으면 좋겠습니다 :),새 상품,True,100000.0,,daangn,explori,
22,017b89bd-0955-431d-ba06-7f755e81a8f5,스토케 스쿠트 유모차,2년정도 사용했고 유모차 두개 번갈아 사용해서 깨끗한 편입니다. 앞뒤보가 가능하고 사진에 있는 모든 악세사리 포함 가격입니다. 우산은 펴보기만 했습니다. 보라색 풋머프는 세트 아니지만 필요하시면 같이 드릴께요 문앞 비대면 거래 선호합니다.,사용감 적음,True,95000.0,부산광역시,daangn,scoot,
23,0184f78c-2474-4467-88bb-a4d899d9b470,스토케 스쿠트 유모차,스토케 스쿠트 절충형 유모차 나눔해요 절충형으로 나온거지만 디럭스처럼 분리되고 무게감 있습니다. 시트 세탁하고 몇번 안써서 깨끗해요 분리해서 세탁하심 돼요. 앞뒤보기 되고 3단계로 눕혀져요 장바구니가 커서 어마어마하게 들어갑니다. 신생아 이너시트도 있어요 육아때문에 비대면 나눔할게요,사용감 적음,True,15000.0,부산광역시,daangn,scoot,절충형
28,01d0be13-cf0c-4fe6-a898-573b0b2ece78,스토케 크루시 디럭스 유모차 (+썸머키트 포함),"가족한테 디럭스 유모차 물려받아서 2개월 전쯤 유모차 전문 세탁 업체에 맡겨 세탁했으나 차가 작아 잘 안 들어가서 몇 번 사용 못했습니다. 스토케 디럭스는 안정적으로 아기 태우기 넘 좋아요 - 방풍커버 - 썸머키트(우산, 모기장, 레인커버 등 포함) - 카이저(정품) 양털 풋머프+방한장갑 오셔서 가져가셔야 합니다.",사용감 적음,True,140000.0,서울특별시,daangn,crusi,디럭스
35,0223944d-4c49-48a1-9bdd-0314f763ddd7,스토케스쿠트 절충형,스토케스쿠트절충형유모차예요 세탁깨끗하게 되어있는 상태입니다 깨끗하지만 사용감있어요 휴대용가기전에 가볍게 쓰실분 가져가세요,사용감 적음,True,4000.0,,daangn,scoot,절충형
40,0232be5e-6409-4448-9e78-8761cddc4741,스토케 익스플로리 v6 유모차,"집에 부가부 드래곤플라이, 해밀턴 x1 있는데 비교하면 확실히 안정감 있는 디럭스 유모차입니다 파란색 계열이라 예쁘구요 (정말 예뻐요!) 사용감은 있습니다만 눈에 크게 거슬릴 만한 문제는 없는 것 같습니다.. 핸들 쪽 실밥이 살짝 까진 것 같아 사진 첨부합니다 방풍 커버 같이 드립니다 (뭐가 있는 지 기억이 안나서.. 아무튼 있는 커버 다 같이 드립니다) 보고 구매하셔도 괜찮습니다",사용감 많음,True,330000.0,서울특별시,daangn,explori,디럭스
41,02560022-7de4-48f5-849f-4b585981e58e,스토케 유모차 트레일즈,"스토케랑 휴대용 줄즈랑 번갈아가며 잘 쓰다가 이제 아이가 좀 크게 되어서 판매합니다. 앞보기 뒤보기 가능하고 오프로드휠이라 본체랑 신생아패드, 모기장, 방풍커버, 컵홀더는 같이 드릴께요! 바퀴에 사용감이 좀 있어서 저렴하게 내놓습니다.",사용감 많음,True,70000.0,,daangn,trailz,
